context,target,split
"but to a magistrate , whose",genevan,test
"to a genevan , whose mind",magistrate,test
a genevan magistrate whose mind was,",",test
"genevan magistrate , mind was occupied",whose,test
"magistrate , whose was occupied by",mind,test
", whose mind occupied by far",was,test
whose mind was by far other,occupied,test
mind was occupied far other ideas,by,test
was occupied by other ideas than,far,test
occupied by far ideas than those,other,test
by far other than those of,ideas,test
far other ideas those of devotion,than,test
other ideas than of devotion and,those,test
ideas than those devotion and heroism,of,test
"than those of and heroism ,",devotion,test
"those of devotion heroism , this",and,test
"of devotion and , this elevation",heroism,test
devotion and heroism this elevation of,",",test
"and heroism , elevation of mind",this,test
"heroism , this of mind had",elevation,test
", this elevation mind had much",of,test
this elevation of had much the,mind,test
elevation of mind much the appearance,had,test
of mind had the appearance of,much,test
mind had much appearance of madness,the,test
had much the of madness .,appearance,test
much the appearance madness . ,of,test
the appearance of . ,madness,test
appearance of madness ,.,test
of madness .,,test
endeavoured to soothe,he,test
he to soothe me,endeavoured,test
he endeavoured soothe me as,to,test
he endeavoured to me as a,soothe,test
endeavoured to soothe as a nurse,me,test
to soothe me a nurse does,as,test
soothe me as nurse does a,a,test
me as a does a child,nurse,test
as a nurse a child and,does,test
a nurse does child and reverted,a,test
nurse does a and reverted to,child,test
does a child reverted to my,and,test
a child and to my tale,reverted,test
child and reverted my tale as,to,test
and reverted to tale as the,my,test
reverted to my as the effects,tale,test
to my tale the effects of,as,test
my tale as effects of delirium,the,test
tale as the of delirium .,effects,test
as the effects delirium . ,of,test
the effects of . ,delirium,test
effects of delirium ,.,test
of delirium .,,test
"man , i",,test
" , i cried",man,test
" man i cried ,",",",test
" man , cried , how",i,test
"man , i , how ignorant",cried,test
", i cried how ignorant art",",",test
"i cried , ignorant art thou",how,test
"cried , how art thou in",ignorant,test
", how ignorant thou in thy",art,test
how ignorant art in thy pride,thou,test
ignorant art thou thy pride of,in,test
art thou in pride of wisdom,thy,test
thou in thy of wisdom !,pride,test
in thy pride wisdom ! ,of,test
thy pride of ! ,wisdom,test
pride of wisdom ,!,test
of wisdom !,,test
you know not,cease,test
cease know not what,you,test
cease you not what it,know,test
cease you know what it is,not,test
you know not it is you,what,test
know not what is you say,it,test
not what it you say .,is,test
what it is say . ,you,test
it is you . ,say,test
is you say ,.,test
you say .,,test
broke from the,i,test
i from the house,broke,test
i broke the house angry,from,test
i broke from house angry and,the,test
broke from the angry and disturbed,house,test
from the house and disturbed and,angry,test
the house angry disturbed and retired,and,test
house angry and and retired to,disturbed,test
angry and disturbed retired to meditate,and,test
and disturbed and to meditate on,retired,test
disturbed and retired meditate on some,to,test
and retired to on some other,meditate,test
retired to meditate some other mode,on,test
to meditate on other mode of,some,test
meditate on some mode of action,other,test
on some other of action .,mode,test
some other mode action . ,of,test
other mode of . ,action,test
mode of action ,.,test
of action .,,test
my present situation,chapter,test
chapter present situation was,my,test
chapter my situation was one,present,test
chapter my present was one in,situation,test
my present situation one in which,was,test
present situation was in which all,one,test
situation was one which all voluntary,in,test
was one in all voluntary thought,which,test
one in which voluntary thought was,all,test
in which all thought was swallowed,voluntary,test
which all voluntary was swallowed up,thought,test
all voluntary thought swallowed up and,was,test
voluntary thought was up and lost,swallowed,test
thought was swallowed and lost .,up,test
was swallowed up lost . ,and,test
swallowed up and . ,lost,test
up and lost ,.,test
and lost .,,test
was hurried away,i,test
i hurried away by,was,test
i was away by fury,hurried,test
i was hurried by fury revenge,away,test
was hurried away fury revenge alone,by,test
hurried away by revenge alone endowed,fury,test
away by fury alone endowed me,revenge,test
by fury revenge endowed me with,alone,test
fury revenge alone me with strength,endowed,test
revenge alone endowed with strength and,me,test
alone endowed me strength and composure,with,test
endowed me with and composure it,strength,test
me with strength composure it moulded,and,test
with strength and it moulded my,composure,test
strength and composure moulded my feelings,it,test
and composure it my feelings and,moulded,test
composure it moulded feelings and allowed,my,test
it moulded my and allowed me,feelings,test
moulded my feelings allowed me to,and,test
my feelings and me to be,allowed,test
feelings and allowed to be calculating,me,test
and allowed me be calculating and,to,test
allowed me to calculating and calm,be,test
me to be and calm at,calculating,test
to be calculating calm at periods,and,test
be calculating and at periods when,calm,test
calculating and calm periods when otherwise,at,test
and calm at when otherwise delirium,periods,test
calm at periods otherwise delirium or,when,test
at periods when delirium or death,otherwise,test
periods when otherwise or death would,delirium,test
when otherwise delirium death would have,or,test
otherwise delirium or would have been,death,test
delirium or death have been my,would,test
or death would been my portion,have,test
death would have my portion .,been,test
would have been portion . ,my,test
have been my . ,portion,test
been my portion ,.,test
my portion .,,test
first resolution was,my,test
my resolution was to,first,test
my first was to quit,resolution,test
my first resolution to quit geneva,was,test
first resolution was quit geneva forever,to,test
resolution was to geneva forever my,quit,test
was to quit forever my country,geneva,test
"to quit geneva my country ,",forever,test
"quit geneva forever country , which",my,test
"geneva forever my , which ,",country,test
"forever my country which , when",",",test
"my country , , when i",which,test
"country , which when i was",",",test
", which , i was happy",when,test
"which , when was happy and",i,test
", when i happy and beloved",was,test
"when i was and beloved ,",happy,test
"i was happy beloved , was",and,test
"was happy and , was dear",beloved,test
happy and beloved was dear to,",",test
"and beloved , dear to me",was,test
"beloved , was to me ,",dear,test
", was dear me , now",to,test
"was dear to , now ,",me,test
"dear to me now , in",",",test
"to me , , in my",now,test
"me , now in my adversity",",",test
", now , my adversity ,",in,test
"now , in adversity , became",my,test
", in my , became hateful",adversity,test
in my adversity became hateful .,",",test
"my adversity , hateful . ",became,test
"adversity , became . ",hateful,test
", became hateful ",.,test
became hateful .,,test
provided myself with,i,test
i myself with a,provided,test
i provided with a sum,myself,test
i provided myself a sum of,with,test
provided myself with sum of money,a,test
"myself with a of money ,",sum,test
"with a sum money , together",of,test
"a sum of , together with",money,test
